cv_folds,model,parameters,predictors,score,score_std,timestamp
5.0,rf,"{'min_samples_leaf': 100, 'n_estimators': 100, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.701923403,0.00232698,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 100, 'n_estimators': 250, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.701938601,0.002465541,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42, 'criterion': 'gini', 'max_features': 'sqrt', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.701948627,0.002249403,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 10, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.712587975,0.066315845,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.413747865,0.066297193,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 100, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.337994751,0.054726271,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 250, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.272268827,0.059194215,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 1, 'n_estimators': 500, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-1.222687787,0.053068214,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 10, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.701695498,0.0108093,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.696840489,0.006603956,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 100, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.69479494,0.003542174,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 250, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.694330409,0.003396342,3/15/17 18:48
5.0,rf,"{'min_samples_leaf': 10, 'n_estimators': 500, 'random_state': 42, 'criterion': 'gini', 'max_features': 'log2', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",-0.694358087,0.003316492,3/15/17 18:48
